FILIAL; DATA PROC; IDADE INI; IDADE FIM;SETOR LOJA   ;MERC ;DIGITO;STATUS;DESCRICAO ;EMBALAGEM ;DT VENC   ;TRIBUTACAO;LC;QTDE_IDEAL;DT PRECO IND;PRECO IND;DT ULT ENTR;CUSTO ULT ENTR;QTDE ULT ENTR;QTDE PED COMPRA;QTDE PED FILIAL;QTDE PED NF AT;ESTOQ EMB1;ESTOQ EMB9;CUSTO MEDIO;PRECO VENDA;PERC RENT;QTDE VENDA EMB1;IDADE;NAO VENDE;TP ETIQ;MIX;DT PRECO;EMB.INTERMEDIARIA;PAR;DIREITO DEVOLUCAO;GESTAO ISV;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;58489;153; ;RF.QUEIJO MUSSARELA FAT.PRESIDENT  ;CXA 1 X 6 1KG    ;; ; ;110;     ;0;10/04/2026;200,87;30;130;0;0;2;1;198,89;287,4;6,24;79;11;1;X; ;22/03/2026;;N;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;75641;151; ;RF.QUEIJO AZUL TIROLEZ             ;KG  1 X 1000 1G     ;; ; ;70;     ;0;19/03/2026;59,08;6;6;0;0;7;495;57,76;110,6;15,63;4;53,04;15;C; ;13/04/2026;; ;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;65382;151; ;RF.QUEIJO PRATO 3 MARIAS F3        ;KG  1 X 1000 1G     ;; ; ;1;     ;0;23/03/2026;24,76;196;0;0;0;17;800;24,59;30;-6,53;195;29;16;C; ;05/09/2025;;N;N;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;53957;165; ;RF.CREME DE RICOTA IPANEMA         ;CXA 1 X 18 180G   ;; ; ;60;     ;0;20/03/2026;71,68;5;0;0;0;6;2;71,68;106,2;7,94;8;34,72;1;X; ;30/03/2026;;N;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;96690;173; ;RF.QJO PRATO MINI IPANEMA PECA     ;CXA 1 X 12 375G   ;; ; ;135;     ;0;26/02/2026;179,21;2;0;0;0;2;5;181,52;262,8;6,37;0;59,86;1;C; ;01/12/2025;S; ;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;62845;178; ;RF.QUEIJO PARMESAO FRAC.BURITIS    ;KG  1 X 1000 1G     ;; ; ;1;     ;0;14/04/2026;59,62;5;24;0;0;7;474;58,86;87,9;8,47;17;29,04;1;X; ;01/10/2024;;N;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;53938;168; ;RF.QUEIJO PROVOLONETE FORMOSA      ;KG  1 X 1000 1G     ;; ; ;1;     ;0;07/04/2026;37,16;13;0;0;0;11;894;37,22;58,9;12,23;10;14;3;X; ;12/02/2026;;N;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;93514;105; ;RF.QJO.PARMESAO GALBANI            ;CXA 1 X 20 180G   ;; ; ;120;     ;0;08/04/2026;268,85;3;0;0;0;1;13;268,84;396,01;7,56;1;13;1;C; ;15/03/2026;S; ;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;11254;157; ;RF.QUEIJO MINAS PADRAO FAZENDA     ;KG  1 X 1000 1G     ;; ; ;1;     ;0;15/04/2026;45,11;5;111;0;0;9;996;45,13;65;6;12;9,02;2;C; ;27/10/2025;; ; ;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;65516;123; ;RF.QUEIJO M.CURA FORMOSA           ;KG  1 X 1000 1G     ;; ; ;1;     ;0;08/01/2026;35,38;32;0;0;0;12;840;35,43;56,9;13,16;0;103;57;C; ;12/02/2026;;N;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;96691;138; ;RF.QJO MUSSARELA MINI IPANEMA PECA ;CXA 1 X 12 375G   ;; ; ;135;     ;0;06/02/2026;179,21;2;0;0;0;2;6;181,98;262,8;6,2;0;79;48;C; ;01/12/2025;S; ;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;4858;136; ;RF.QJO PROCES SUPREMO SAB CHEDDAR  ;CXA 1 X 12 380G   ;; ; ;150;     ;0;14/04/2026;72,21;5;5;0;0;6;5;72,32;119,4;7,28;4;11,63;1;C; ;15/06/2025;S; ; ;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;4075;197; ;RF.QJO PRATO GOIABAL FATIADO       ;CXA 1 X 24 400G   ;; ; ;50;     ;0;23/03/2026;327,08;10;0;0;0;1;10;330,3;501,6;9,59;12;29;4;C; ;04/02/2026;S; ; ;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;14322;189; ;RF.COB.CULIN.BULNEZ.SB.REQ.BISN    ;CXA 1 X 10 1,5KG  ;; ; ;50;     ;0;12/03/2026;66,81;10;0;0;0;7;0;67,22;74,8;-14,43;3;40;12;C; ;08/04/2026;S; ; ;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;92301;151; ;RF.QUEIJO MUSS POLENGHI F4         ;KG  1 X 1000 1G     ;; ; ;1;     ;0;16/02/2026;24,76;488;0;0;0;20;108;24,27;34,9;5,87;372;64;10;C; ;01/03/2026;; ; ;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;39078;162; ;RF.CREME VEG.CHANTILLY VIGOR SPRAY ;CXA 1 X 12 250G   ;; ; ;156;     ;0;20/04/2026;230,66;2;2;0;0;2;2;230,58;382,83;7,63;2;3;1;X; ;18/03/2026;;N;N;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;87028;170; ;RF.QUEIJO AZUL IPANEMA             ;KG  1 X 1000 1G     ;; ; ;60;     ;0;14/04/2026;54,23;5;7;0;0;9;472;53,02;88,9;8,22;9;17,71;1;C; ;24/11/2025;; ;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;84765;137; ;RF.QUEIJO PRATO BURITIS FATIADO    ;CXA 1 X 44 150G   ;; ; ;72;     ;0;14/04/2026;237,13;2;3;0;0;2;5;238,37;316,37;0,1;3;9,68;1;C; ;12/04/2026;; ;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;98089;196; ;RF.QUEIJO PARMESAO IPANEMA FRACAO  ;CXA 1 X 12 200G   ;; ; ;135;     ;0;20/03/2026;152,92;5;0;0;0;3;5;152,25;214,8;4,56;4;32;1;C; ;06/01/2025;S; ;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;49286;192; ;RF.POLENGHINHO TRADICIONAL C/8     ;CXA 1 X 42 136G   ;; ; ;115;     ;0;16/04/2026;326,83;1;0;0;0;1;28;321,33;419,58;-8,72;1;21,8;1;X; ;16/04/2026;;N;N;S;
